project,surface_type,source_path,canonical_doc_path,audience,diataxis_type,owner_status,verification_command,gap_status,reviewer_notes
helm-ai-kernel,script,scripts/falsification,examples/receipt_verification/README.md,developer,how-to,owned-active,scripts/falsification/proof-stronger-than-platform-logs.sh,covered,"Falsification workload for the vision paper 9.1.2 claim ""Proof stronger than platform logs"": asserts a three-case matrix air-gapped - an unsigned pack and a self-attested seal must both be refused, and the same sealed pack must verify once self-attestation is explicitly opted in. Exits non-zero if a case that must fail starts passing."
helm-ai-kernel,migration,core/pkg/store/migrations/007_add_receipt_envelope.sql,docs/security/kernel-security-remediation-ledger.md,developer,reference,owned-active,cd core && go test ./pkg/store ./cmd/helm-ai-kernel && make docs-coverage && make docs-truth,covered,Persists the full issued receipt envelope alongside its durable chain hash so new reloads retain hash-bound receipt fields for offline evidence verification.
helm-ai-kernel,migration,core/pkg/store/migrations/006_add_receipt_chain_hash.sql,docs/security/kernel-security-remediation-ledger.md,developer,reference,owned-active,cd core && go test ./pkg/store ./cmd/helm-ai-kernel && make docs-coverage && make docs-truth,covered,Persists the canonical receipt chain hash at issuance so future causal appends remain exact across lossy store reloads; historical rows retain an explicit legacy fallback when original fields were never stored.
helm-ai-kernel,migration,core/pkg/store/migrations/005_add_receipt_append_sequence.sql,docs/security/kernel-security-remediation-ledger.md,developer,reference,owned-active,cd core && go test ./pkg/store ./cmd/helm-ai-kernel && make docs-coverage && make docs-truth,covered,Adds a durable globally monotonic append_sequence for tenant-wide receipt cursors; backfills a stable legacy order and prevents later session genesis receipts from being skipped.
helm-ai-kernel,project-root,.,README.md,maintainer,reference,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
helm-ai-kernel,ci-cd,.github,.github/SURFACE.md,operator,how-to,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
helm-ai-kernel,ci-cd,.github/ISSUE_TEMPLATE,.github/SURFACE.md,contributor,how-to,owned-active,make docs-coverage && make docs-truth,covered,GitHub issue templates are owned by the GitHub surface contract and should stay aligned with CONTRIBUTING.md and SECURITY.md.
helm-ai-kernel,build-interface,Makefile,docs/documentation-coverage.md,operator,how-to,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
helm-ai-kernel,surface,adapters,adapters/README.md,developer,reference,owned-active,make docs-coverage && make docs-truth,covered,Optional adapter examples expose HELM behavior to external eval protocols without entering Kernel authority.
helm-ai-kernel,api-contract,api,api/README.md,developer,reference,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
helm-ai-kernel,surface,artifacts,artifacts/README.md,maintainer,reference,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
helm-ai-kernel,benchmarks,benchmarks,benchmarks/README.md,maintainer,reference,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
helm-ai-kernel,surface,core,core/README.md,maintainer,reference,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
helm-ai-kernel,surface,data,data/README.md,maintainer,reference,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
helm-ai-kernel,surface,deploy,deploy/README.md,operator,how-to,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
helm-ai-kernel,configuration,docker-compose.yml,docs/documentation-coverage.md,maintainer,reference,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
helm-ai-kernel,surface,docs,docs/README.md,maintainer,explanation,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
helm-ai-kernel,quality-gates,docs/QUALITY_GATES.md,docs/QUALITY_GATES.md,maintainer,how-to,owned-active,make quality-self-test && make quality-list,covered,Canonical Make-first quality gate documentation.
helm-ai-kernel,surface,examples,examples/README.md,developer,tutorial,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
helm-ai-kernel,surface,examples/openenv,examples/openenv/README.md,developer,tutorial,owned-active,make docs-coverage && make docs-truth,covered,OpenEnv-shaped synthetic and shadow eval fixtures only; production mode is unsupported.
helm-ai-kernel,surface,fixtures,fixtures/README.md,maintainer,reference,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
helm-ai-kernel,surface,oss-fuzz,oss-fuzz/README.md,maintainer,reference,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
helm-ai-kernel,surface,packages,packages/README.md,maintainer,reference,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
helm-ai-kernel,planning,plans,plans/README.md,maintainer,reference,owned-active,make docs-coverage && make docs-truth,covered,Reconciled planning and history record; not release or deployment evidence.
helm-ai-kernel,surface,proofs,proofs/README.md,maintainer,explanation,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
helm-ai-kernel,protocol,protocols,protocols/README.md,maintainer,reference,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
helm-ai-kernel,surface,reference_packs,reference_packs/README.md,maintainer,reference,owned-active,make docs-coverage && make docs-truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
